,genres,app_name,item_id,developer,user_id,recommend,sentiment_analysis,playtime_forever
0,"Action, Indie, Racing",Carmageddon Max Pack,282010,Stainless Games Ltd,InstigatorAU,True,1,896.0
1,"Action, Free to Play",Team Fortress 2,440,Valve,InstigatorAU,True,2,896.0
2,Action,Half-Life,70,Valve,EizanAratoFujimaki,True,2,848.0
3,Action,Tom Clancy's Rainbow Six® Siege,359550,Ubisoft Montreal,EizanAratoFujimaki,False,0,848.0
10,Action,Half-Life,70,Valve,76561198020928326,True,2,75.0
11,Action,Half-Life,70,Valve,76561198020928326,True,2,837.0
12,Action,Half-Life,70,Valve,76561198020928326,True,2,75.0
13,Action,Half-Life,70,Valve,76561198020928326,True,2,837.0
14,Action,Half-Life,70,Valve,Bluegills,True,2,199.0
15,Action,Unreal Tournament 3 Black,13210,"Epic Games, Inc.",Bluegills,True,2,199.0
16,"Action, Adventure, Indie",Amnesia: The Dark Descent,57300,Frictional Games,Bluegills,True,0,199.0
17,"Action, Indie, RPG",Crawl,293780,Powerhoof,Bluegills,True,2,199.0
18,"Action, Free to Play, Indie",Loadout,208090,Edge of Reality,Bluegills,True,2,199.0
19,RPG,FINAL FANTASY VIII,39150,Square Enix,Bluegills,True,2,199.0
20,Action,Red Faction,20530,"Volition, Inc.",Bluegills,True,2,199.0
21,"Action, Adventure, Indie",Penumbra: Black Plague Gold Edition,22120,Frictional Games,Bluegills,True,2,199.0
22,Action,Half-Life,70,Valve,76561198071955492,True,2,36.0
23,"Action, RPG",The Witcher: Enhanced Edition Director's Cut,20900,CD PROJEKT RED,76561198071955492,True,0,36.0
24,"Adventure, Indie, RPG, Strategy",Divinity: Original Sin (Classic),230230,Larian Studios,76561198071955492,True,2,36.0
25,Adventure,Game of Thrones - A Telltale Games Series,330840,Telltale Games,76561198071955492,True,2,36.0
26,Adventure,Tales from the Borderlands,330830,Telltale Games,76561198071955492,True,2,36.0
27,"Adventure, Indie, Simulation",This War of Mine,282070,11 bit studios,76561198071955492,True,0,36.0
